address,reward_type,reason,height,amount,reported_time
sif1zanr4s522zueydf47zzgw0uqgq0k7pzj3m4wyx,vs,undelegate,2835252,0.802255540027204333,2021-08-17 12:00:06.564876+00:00
sif10ea95wtmz5uzwrlw0kt2p0j8lsm9rwpwwhuh9f,lm,removed_liquidity,2815844,4.661659349009170000,2021-08-17 11:59:55.749800+00:00
sif1ajczqs4mswvrxwrqr0lc0f75f83anp9j3jy5ep,vs,undelegate,2846980,7.047539614397621818,2021-08-17 12:00:02.722825+00:00
sif1rqstd952xwz5kzyllfuwmau30fr9kyqazz4zez,lm,removed_liquidity,2829261,7.484616739122777273,2021-08-17 11:59:59.611582+00:00
sif1yz7xedge0xg7cej8xzfq9jzjrev3d2d8kqqpjn,lm,removed_liquidity,2819835,7.617005609260970000,2021-08-17 12:00:01.282551+00:00
sif107jzgf0gfs6p7vs9r02pwwj7yzwkk987k86urp,lm,removed_liquidity,2838425,7.657693741311259091,2021-08-17 11:59:55.509425+00:00
sif1sdk4egaxu3asu47el8ucdq4x4xrejj9p7z7flj,lm,removed_liquidity,2822344,12.568835128337800000,2021-08-17 12:00:00.087985+00:00
sif1dc5v6ylhhdh02dfu88z2x227klncwe5pgespc9,lm,removed_liquidity,2855317,12.614549203818890000,2021-08-17 11:59:57.938800+00:00
sif1v5yykny2ysl8vjt9hg93hds7zx2d8r9gcfnyar,lm,removed_liquidity,2845315,12.728887284808509091,2021-08-17 12:00:00.329519+00:00
sif1hhfzmmtrq642ahumejtjf4kp30dr93z45vu0pq,lm,removed_liquidity,2811892,13.137566193205206364,2021-08-17 11:59:58.658705+00:00
sif18pngk8cmn3jztzcf50zzpe7ls8wh33ndaelujh,vs,undelegate,2830995,13.675962072091775455,2021-08-17 12:00:02.247172+00:00
sif15zac5vfmxuntrl2d35rkg0htw9wn45yc7qyrmf,lm,removed_liquidity,2813245,14.374886250138609091,2021-08-17 11:59:56.940558+00:00
sif19w4spuuvzp2paqt4s5jtw63nc8vdhdaqkcgdkx,lm,removed_liquidity,2829833,14.416487008198414545,2021-08-17 11:59:57.700462+00:00
sif1j76zdn4ngdxkdcw7nvz00585p2g8y5r9vlpwv7,lm,removed_liquidity,2833950,14.580693404113524545,2021-08-17 11:59:58.895272+00:00
sif1q6p4hewx867stqz9fwnd0d9eg2t3kze5fp2pty,lm,removed_liquidity,2833965,14.583189244291218182,2021-08-17 11:59:59.374181+00:00
sif1e9pnhlkgknflflh59xhd9nw86mcwek3hgad398,lm,removed_liquidity,2862245,14.592860948146481818,2021-08-17 11:59:58.179109+00:00
sif1wwjf4mtnmlvljwdwvkyuhvk22e96rhtsvwj3s0,lm,removed_liquidity,2812217,14.662700266219672727,2021-08-17 12:00:01.043367+00:00
sif18smdlcd6mjk307zut8j4d9xkng43kh7mj496yy,lm,removed_liquidity,2833873,14.704804373761741818,2021-08-17 11:59:57.462164+00:00
sif10kj8pd69wtjkf6n5evs3e5tnsyynllepq84vue,lm,removed_liquidity,2833983,14.732306921130719091,2021-08-17 11:59:56.220365+00:00
sif15kzvxnr6sr7r20fjsnj9l7mfpra3mv2nwvpph0,lm,removed_liquidity,2810619,15.403537856866884545,2021-08-17 11:59:56.698973+00:00
sif1mcw7gm79jnl46qevz9l9egq4epwdvyhz992wph,vs,undelegate,2861894,15.508889904508309091,2021-08-17 12:00:04.874567+00:00
sif1lt4m6jyqsx7ghrvh7g9edthz72ruseuhdwyfqw,vs,undelegate,2855575,16.619433888880045455,2021-08-17 12:00:04.633405+00:00
sif1dz566mg7yuj0ks5txqg5jf42vd4p6l76usm9g6,vs,undelegate,2860340,18.810719982391997273,2021-08-17 12:00:03.438741+00:00
sif1879mfd5k82f8zyd3mllmdc6d4rkch6qmmjrpw5,vs,undelegate,2845119,20.884829868522976364,2021-08-17 12:00:02.009056+00:00
sif13wzzlv0z7jcex8l2fws9ry5ecwr8tsv2pwrmxj,vs,undelegate,2858038,24.096390031114145455,2021-08-17 12:00:01.524814+00:00
sif1u8mm4vsu7ur42wqkc80dpm8dkd4h9lhpl299fy,vs,undelegate,2847700,25.133360971599227273,2021-08-17 12:00:06.082419+00:00
sif1s7ny0ygygn7vl9eyhc5vfv03j8c5lsn4ucqe6j,lm,removed_liquidity,2845316,26.179095307887760000,2021-08-17 11:59:59.849370+00:00
sif1av5d3fudnc2ts4uln3t4z5xlgg4999gpv4mlv3,vs,undelegate,2848283,26.356946007149454545,2021-08-17 12:00:02.960911+00:00
sif1mlmrg605kkyun7z9r57r7fek273xrcapvs34ls,lm,removed_liquidity,2828367,31.206645144551518182,2021-08-17 11:59:59.134162+00:00
sif17eupkyllxujlhddpc33fp95rppspajez238etx,lm,removed_liquidity,2828374,31.419520746401649091,2021-08-17 11:59:57.179507+00:00
sif1wms74v60eaqty72h3x6kaarvatkg8e27htdwsx,lm,removed_liquidity,2828366,32.069988615245769091,2021-08-17 12:00:00.803254+00:00
sif10jj3th2p0zr2s9nfvpp3aqkyuzwsmj47gmekhs,lm,removed_liquidity,2857363,32.920088003403090909,2021-08-17 11:59:55.984838+00:00
sif1ptyjpz7fjavu4wkz7fs82tpjcl5rm4xjym0t5u,vs,undelegate,2854082,37.872911106503100000,2021-08-17 12:00:05.354859+00:00
sif1tygmpjmq0vw4h6m5ht90vemx6eghjvfkhj27tg,vs,undelegate,2846123,39.252082238883872727,2021-08-17 12:00:05.841504+00:00
sif1gjsvhrke5gez89urh4lah63termn93jf0xx2sj,vs,undelegate,2861834,39.538438603438750000,2021-08-17 12:00:03.676325+00:00
sif1k0gheak8qv2dsfjmnk4vdcm2akf6mzd8me28jd,vs,undelegate,2853639,48.061517441062672727,2021-08-17 12:00:03.915599+00:00
sif1leuy2a2jsw330c7re7hdx5v7ftk3nk8knafh3t,vs,undelegate,2841266,65.680278090567666667,2021-08-17 12:00:04.394355+00:00
sif1l9jgeakw8qe44sjwhwe4nnds4954pxshuzjpq7,vs,undelegate,2845243,68.722099117699972727,2021-08-17 12:00:04.154078+00:00
sif1dc5v6ylhhdh02dfu88z2x227klncwe5pgespc9,vs,undelegate,2855454,69.253758655117218182,2021-08-17 12:00:03.199572+00:00
sif1362n6zpmuuy50sjmhwkpwjal4esus60xj2qd59,lm,removed_liquidity,2814377,70.110708403292727273,2021-08-17 11:59:56.459304+00:00
sif1t2rgk5azrrpy2xdzuj6t0w8d37lnfnxxm0j8s5,vs,undelegate,2829828,94.321285405690263636,2021-08-17 12:00:05.600169+00:00
sif1p03h4rh6ld83g5qj076ze3uft2wzv7ugmrvzxv,vs,undelegate,2837004,106.125333803572290909,2021-08-17 12:00:05.114974+00:00
sif1umtpcrtf6sapulgw3wmm907g3n60vau26qw0xn,vs,undelegate,2852891,107.573356544740666667,2021-08-17 12:00:06.321588+00:00
sif19hrqq4nfec86kwccv50uc2kq667mkt65g4nv95,vs,undelegate,2860621,187.984533457622227273,2021-08-17 12:00:02.491706+00:00
sif1hfpxf58zjc0r7h9z0qnzcm88rlwdyuwd0netdh,lm,removed_liquidity,2824371,223.860324856025000000,2021-08-17 11:59:58.425152+00:00
sif1wlyq2xtmhvnq3jq3f2dvcdl6ph06zjlkqqazah,lm,removed_liquidity,2830159,630.830661058750727273,2021-08-17 12:00:00.564531+00:00
sif150svyax8m8dwljwenc8xxtsg0avud07mj8c6jw,vs,undelegate,2827966,840.312851892555000000,2021-08-17 12:00:01.767159+00:00
